Model,Threshold,AUROC,AUPRC,F2,Recall,Precision
Model 1 — Clinical,0.04485354853947532,0.4346707818930041,0.13417147881778285,0.46875,1.0,0.15
Model 2 — Genomic,0.0893761149103333,0.7376543209876544,0.34632423807399493,0.5743243243243243,0.9444444444444444,0.2236842105263158
Model 3 — Imaging,0.01651463471353054,0.6378600823045266,0.320134596045654,0.4787234042553192,1.0,0.15517241379310345
Fusion A — Simple Avg,0.3045969844314153,0.7052469135802469,0.2928779321854056,0.5769230769230769,0.8333333333333334,0.25862068965517243
Fusion B — F2 Weighted,0.2893820567105126,0.7191358024691358,0.3143493696364844,0.5681818181818182,0.8333333333333334,0.25
Fusion C — Stacking CV,0.4050020431259775,0.7587448559670783,0.4560593707961996,0.5725190839694656,0.8333333333333334,0.2542372881355932
Fusion D — Cascade Max,0.6979330173955457,0.6815843621399177,0.23059166340110424,0.5508474576271186,0.7222222222222222,0.2826086956521739
