,AUROC,AUPRC,F2,Recall
Model 1: Clinical (SEER),0.7574894839437776,0.22790353163822014,0.5789473684210527,0.8148148148148148
Model 2: Genomic (TCGA),0.6409664512157587,0.18356488302079454,0.46296296296296297,0.8333333333333334
Fusion A: Simple avg,0.7629527033959166,0.25403938502890816,0.6020942408376964,0.8518518518518519
Fusion B: Weighted avg,0.7719811223966349,0.25980625859458273,0.6117021276595744,0.8518518518518519
Fusion C: Stacking,0.7805478608802708,0.2640631857386694,0.5936675461741425,0.8333333333333334
