Model,Accuracy,AUROC,AUPRC,F1,F2,Recall
Model 1: Clinical (SEER),0.14285714285714285,0.5,0.14285714285714285,0.25,0.45454545454545453,1.0
Model 2: Genomic (TCGA),0.2222222222222222,0.5653292181069959,0.1861168526241135,0.26865671641791045,0.4787234042553192,1.0
Model 3: Imaging (TCGA),0.9761904761904762,0.9284979423868313,0.8980809649287911,0.9090909090909091,0.8620689655172413,0.8333333333333334
Fusion A: Simple avg,0.9761904761904762,0.9614197530864197,0.9141882723972277,0.9090909090909091,0.8620689655172413,0.8333333333333334
Fusion C: Stacking,0.9761904761904762,0.911008230452675,0.8865356416441985,0.9090909090909091,0.8620689655172413,0.8333333333333334
