,AUROC,AUPRC,Precision,Recall,F1,F2
lung_met,0.7194032631706349,0.10179533510559566,0.039969135802469136,0.9736842105263158,0.07678624369997035,0.17165959703075293
bone_met,0.6525303589888276,0.04757089182254743,0.02607640994542147,0.9502762430939227,0.05075992326988343,0.11748633879781421
liver_met,0.7059678532008831,0.02947793119745729,0.015595162316995544,0.98,0.03070175438596491,0.07330939557151406
brain_met,0.554870307676989,0.019440250189954485,0.006584362139917695,0.9090909090909091,0.013074031704526883,0.03199488081906895
overall_metastasis,0.711363180473193,0.16268910408368606,0.08571428571428572,0.8027210884353742,0.15488952089258368,0.3003053953172718
